Designator,Mid X,Mid Y,Rotation,Layer
AE1,162.047352,-87.10137,180.0,bottom
C10,164.487469,-87.39882,90.0,bottom
C11,167.555871,-88.733806,180.0,bottom
C13,160.805395,-89.849357,0.0,bottom
C14,164.188784,-88.454307,0.0,bottom
C15,161.356824,-89.142581,0.0,bottom
C16,165.120667,-86.836863,90.0,bottom
C17,168.269951,-87.148713,90.0,bottom
C3,168.1295,-90.347736,270.0,bottom
C5,160.712336,-94.24131,0.0,bottom
C8,160.8328,-93.2,90.0,bottom
C9,167.894,-95.0468,180.0,bottom
L1,162.794392,-88.442278,0.0,bottom
L2,161.223836,-88.45107,0.0,bottom
R1,160.7,-94.939938,180.0,bottom
R2,166.503586,-95.047747,0.0,bottom
TP2,164.973,-94.911279,0.0,top
TP4,163.097067,-94.896279,180.0,top
TP5,160.539839,-90.594203,180.0,bottom
TP6,160.539839,-91.464536,0.0,bottom
TP7,167.64,-94.796279,0.0,top
TP8,160.8328,-94.796279,0.0,top
U2,164.678433,-91.739927,180.0,bottom
USB1,164.259048,-90.904668,180.0,top
Y2,166.669696,-87.178132,0.0,bottom
